CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,585,0,585
585,2,972,0,1557
1557,3,992,0,2549
2549,4,633,0,3182
3182,5,827,0,4009
4009,6,306,0,4315
4315,7,422,0,4737
4737,8,615,0,5352
5352,9,695,0,6047
6047,10,702,0,6749
6749,11,942,0,7691
7691,12,969,0,8660
8660,13,955,0,9615
9615,14,764,0,10379
10379,15,589,0,10968
10968,16,103,0,11071
11071,17,364,0,11435
11435,18,346,0,11781
11781,19,271,0,12052
